2026-08-20 10:44:26+00,Nerice,9,3,8.50,"POINT(603.39 494.27)","none",0,100,"",0,"no destination"
2026-08-20 10:44:27+00,Bedyia,4,3,4.23,"POINT(-15088.53 5762.47)","Nightsaber Stalker",7,88.08,"",0,"no destination"
2026-08-20 10:44:28+00,Yolara,1,3,8.43,"POINT(-200.01 -9191.17)","Defias Cutpurse",5,98.21,"",0,"no destination"
2026-08-20 10:44:28+00,Arisannah,10,8,9.18,"POINT(-14857.28 6037.49)","Nightsaber",5,52.68,"",0,"no destination"
2026-08-20 10:44:28+00,Ungar,3,2,11.94,"POINT(87.01 -5647.58)","Old Icebeard",11,100.00,"",0,"no destination"
2026-08-20 10:44:31+00,Harlean,10,4,7.36,"POINT(576.07 -9085.36)","Kobold Miner",6,100.00,"",0,"no destination"
2026-08-20 10:44:32+00,Evedrol,4,3,3.18,"POINT(-14940.02 5830.87)","Gnarlpine Warrior",6,72.73,"",0,"no destination"
2026-08-20 10:44:33+00,Diklittlal,7,4,7.90,"POINT(319.12 -5727.15)","Juvenile Snow Leopard",5,100.00,"",0,"no destination"
2026-08-20 10:44:39+00,Astorick,9,4,14.73,"POINT(-10320.67 -3744.00)","Razormane Defender",12,100.00,"",0,"no destination"
2026-08-20 10:44:42+00,Valasto,10,3,9.19,"POINT(-46.02 -9129.64)","Defias Cutpurse",5,37.50,"",0,"no destination"
2026-08-20 10:44:45+00,Freline,10,4,9.19,"POINT(-551.84 -9496.64)","Mangy Wolf",6,56.06,"",0,"no destination"
2026-08-20 10:44:45+00,Omaristo,9,4,7.10,"POINT(-634.50 2211.67)","Rotting Dead",5,40.18,"",0,"no destination"
2026-08-20 10:44:46+00,Iristeria,9,4,9.42,"POINT(-8084.83 -4935.42)","Bloodtalon Taillasher",8,95.93,"",0,"no destination"
2026-08-20 10:44:48+00,Borran,10,4,9.87,"POINT(153.50 -9867.94)","Defias Bandit",9,90.21,"",0,"no destination"
2026-08-20 10:44:48+00,Zenor,10,3,8.30,"POINT(-187.05 -9831.10)","Kobold Tunneler",5,17.86,"",0,"no destination"
2026-08-20 10:44:48+00,Onjimu,8,3,9.01,"POINT(-9369.89 -3619.39)","Razormane Scout",7,100.00,"",0,"no destination"
2026-08-20 10:44:49+00,Janessia,10,4,9.24,"POINT(211.57 -9471.26)","Murloc",6,64.39,"",0,"no destination"
2026-08-20 10:44:50+00,Flandora,10,1,8.69,"POINT(-576.90 -9823.56)","Riverpaw Outrunner",10,17.32,"",0,"no destination"
2026-08-20 10:44:52+00,Wanma,6,7,8.73,"POINT(-13919.21 -5726.96)","Flatland Cougar",8,76.74,"",0,"no destination"
2026-08-20 10:44:53+00,Elaenas,4,3,8.54,"POINT(-14292.59 6080.68)","Nightsaber",5,100.00,"",0,"get xp or gold from killing |cFFFFFF00|Hentry:38:|h[Defias Thug]|h|r"
2026-08-20 10:44:54+00,Zolatera,5,9,10.65,"POINT(-585.85 2315.22)","Rotting Dead",6,73.48,"",0,"fish"
2026-08-20 10:44:55+00,Damianuel,9,3,7.33,"POINT(-8560.48 -3920.51)","Kul Tiras Marine",7,19.71,"",0,"no destination"
2026-08-20 10:44:55+00,Larineva,10,5,7.52,"POINT(-85.51 -5194.69)","Starving Winter Wolf",8,94.19,"",0,"gather from |cFFFFFF00|Hentry:1619:|h[Earthroot]|h|r"
2026-08-20 10:44:58+00,Evangi,10,4,9.22,"POINT(552.98 -9489.19)","Gray Forest Wolf",8,94.77,"",0,"no destination"
2026-08-20 10:44:58+00,Helse,9,1,10.33,"POINT(-8948.33 -2253.52)","Bloodtalon Scythemaw",9,76.70,"",0,"no destination"
2026-08-20 10:44:59+00,Hohdu,8,3,7.09,"POINT(-9345.15 -3443.78)","Armored Scorpid",7,71.52,"",0,"no destination"
2026-08-20 10:45:02+00,Thylileath,4,1,8.31,"POINT(-14017.06 5988.75)","Webwood Lurker",6,43.18,"",0,"no destination"
2026-08-20 10:45:03+00,Krizio,10,3,9.06,"POINT(591.92 -4901.43)","Ice Claw Bear",8,73.79,"",0,"no destination"
2026-08-20 10:45:05+00,Hutlu,6,11,7.00,"POINT(-12898.00 -6365.94)","Wiry Swoop",5,50.89,"",0,"no destination"
2026-08-20 10:45:05+00,Odessa,5,4,9.51,"POINT(-1000.18 1999.40)","Cursed Darkhound",7,27.15,"",0,"no destination"
2026-08-20 10:45:06+00,Rian,10,2,11.55,"POINT(-397.88 -5621.75)","Snow Leopard",7,77.48,"",0,"get xp or gold from killing |cFFFFFF00|Hentry:1134:|h[Young Wendigo]|h|r"
2026-08-20 10:45:07+00,Blanik,9,8,8.83,"POINT(-915.08 2480.47)","Bayne",10,49.35,"",0,"no destination"
2026-08-20 10:45:08+00,Bomazz,7,4,9.64,"POINT(-675.47 -6502.04)","Frostmane Troll Whelp",3,0.00,"",0,"no destination"
2026-08-20 10:45:08+00,Stanon,1,1,7.39,"POINT(340.97 -8975.92)","Defias Thug",4,0.00,"",0,"no destination"
2026-08-20 10:45:11+00,Bomazz,7,4,9.64,"POINT(-675.12 -6500.59)","none",0,100,"",0,"no destination"
2026-08-20 10:45:11+00,Bomazz,7,4,9.64,"POINT(-675.47 -6502.04)","none",0,100,"",0,"no destination"
2026-08-20 10:45:12+00,Takyden,7,8,8.12,"POINT(-301.52 -5711.71)","Young Black Bear",6,31.01,"",0,"no destination"
2026-08-20 10:45:13+00,Bereander,9,4,9.19,"POINT(-9464.75 -3580.90)","Armored Scorpid",7,67.55,"",0,"loot |cffffffff|Hitem:4862:0:0:0|h[Scorpid Worker Tail]|h|r from |cFFFFFF00|Hentry:3124:|h[Scorpid Worker]|h|r (objective 1)"
2026-08-20 10:45:19+00,Maralea,9,3,9.16,"POINT(-7981.74 -4776.24)","Makrura Clacker",7,68.21,"",0,"no destination"
2026-08-20 10:45:19+00,Zeliana,1,8,10.35,"POINT(255.73 -9408.78)","Mangy Wolf",5,53.57,"",0,"gather from |cFFFFFF00|Hentry:1618:|h[Peacebloom]|h|r"
2026-08-20 10:45:20+00,Arisannah,10,8,9.18,"POINT(-14857.28 6037.49)","Nightsaber",5,8.93,"",0,"no destination"
2026-08-20 10:45:30+00,Zalea,1,8,7.40,"POINT(397.33 -9053.60)","Defias Thug",3,35.90,"",0,"get xp or gold from killing |cFFFFFF00|Hentry:257:|h[Kobold Worker]|h|r"
2026-08-20 10:45:34+00,Wanma,6,7,8.80,"POINT(-13918.55 -5737.82)","Prairie Wolf",6,77.27,"",0,"loot |cffffffff|Hitem:4739:0:0:0|h[Plainstrider Meat]|h|r from |cFFFFFF00|Hentry:2955:|h[Plainstrider]|h|r (objective 1)"
2026-08-20 10:45:37+00,Iristeria,9,4,9.42,"POINT(-8087.40 -4938.58)","Bloodtalon Taillasher",8,84.30,"",0,"talk to questtaker |cFFFFFF00|Hentry:3143:|h[Gornek]|h|r"
2026-08-20 10:45:38+00,Egyael,4,3,7.79,"POINT(-15089.22 6558.70)","Webwood Lurker",5,13.39,"",0,"get xp or gold from killing |cFFFFFF00|Hentry:257:|h[Kobold Worker]|h|r"
2026-08-20 10:45:43+00,Mored,1,9,10.72,"POINT(-14.32 -9106.22)","Defias Cutpurse",5,80.36,"",0,"mine |cFFFFFF00|Hentry:1731:|h[Copper Vein]|h|r"
2026-08-20 10:45:44+00,Gumogg,3,3,9.35,"POINT(408.45 -5696.35)","Young Black Bear",6,41.14,"",0,"get xp or gold from killing |cFFFFFF00|Hentry:1718:|h[Rockjaw Raider]|h|r"
2026-08-20 10:45:45+00,Caro,9,8,12.91,"POINT(-8493.89 -4609.13)","Makrura Clacker",7,92.05,"",0,"no destination"
2026-08-20 10:45:51+00,Shallynna,4,3,8.90,"POINT(-15268.45 6540.20)","Webwood Silkspinner",9,95.36,"",0,"get xp or gold from killing |cFFFFFF00|Hentry:1718:|h[Rockjaw Raider]|h|r"
2026-08-20 10:46:00+00,Hohdu,8,3,7.09,"POINT(-9351.58 -3446.28)","Armored Scorpid",7,59.60,"",0,"no destination"
2026-08-20 10:46:16+00,Ridon,9,8,11.10,"POINT(-9816.48 -3894.58)","Dreadmaw Crocolisk",9,82.04,"",0,"no destination"
2026-08-20 10:46:16+00,Bonharo,10,4,7.18,"POINT(124.06 -5833.66)","Crag Boar",5,23.21,"",0,"no destination"
2026-08-20 10:46:20+00,Tolkeeck,7,4,9.54,"POINT(-484.45 -5283.17)","Leper Gnome",10,51.52,"",0,"skin |cFFFFFF00|Hentry:1196:|h[Ice Claw Bear]|h|r"
2026-08-20 10:46:20+00,Minise,10,1,9.98,"POINT(298.51 -9463.31)","Murloc Streamrunner",7,0.00,"",0,"get xp or gold from killing |cFFFFFF00|Hentry:94:|h[Defias Cutpurse]|h|r"
2026-08-20 10:46:21+00,Zenor,10,3,8.00,"POINT(-195.92 -9191.51)","Defias Cutpurse",5,25.00,"",0,"fish"
2026-08-20 10:46:25+00,Caelo,10,8,11.15,"POINT(-658.50 -10007.60)","Riverpaw Runt",8,93.60,"",0,"no destination"
2026-08-20 10:46:30+00,Reve,10,8,7.85,"POINT(282.17 -9390.15)","Mangy Wolf",5,100.00,"",0,"no destination"
2026-08-20 10:46:33+00,Channie,1,9,9.00,"POINT(-337.03 -9226.44)","Defias Ambusher",8,83.72,"",0,"gather from |cFFFFFF00|Hentry:1618:|h[Peacebloom]|h|r"
2026-08-20 10:46:35+00,Sterinari,9,3,8.56,"POINT(-9049.86 -4694.41)","Kolkar Outrunner",8,7.36,"",0,"no destination"
2026-08-20 10:46:41+00,Telalomon,4,5,7.00,"POINT(-14134.45 5984.92)","Gnarlpine Ursa",5,100.00,"",0,"no destination"
2026-08-20 10:46:42+00,Ridon,9,8,11.10,"POINT(-9817.72 -3892.22)","Dreadmaw Crocolisk",9,100.00,"",0,"no destination"
2026-08-20 10:46:48+00,Hutlu,6,11,7.00,"POINT(-12898.00 -6365.94)","Prairie Wolf",6,15.15,"",0,"no destination"
2026-08-20 10:46:53+00,Ronmo,3,3,6.48,"POINT(1489.79 -5614.91)","Young Arctic Fox",7,78.71,"",0,"no destination"
2026-08-20 10:46:54+00,Balandelio,9,3,7.36,"POINT(-9086.46 -3551.20)","Razormane Quilboar",7,21.19,"",0,"no destination"
2026-08-20 10:46:55+00,Gumogg,3,3,9.35,"POINT(406.81 -5700.12)","Young Black Bear",6,26.58,"",0,"get xp or gold from killing |cFFFFFF00|Hentry:1718:|h[Rockjaw Raider]|h|r"
2026-08-20 10:46:59+00,Waigma,8,4,12.33,"POINT(-9352.63 -2499.19)","Venomtail Scorpid",9,70.39,"",0,"fish"
2026-08-20 10:47:00+00,Elliela,10,4,8.39,"POINT(268.76 -9528.95)","Murloc",6,31.82,"",0,"no destination"
2026-08-20 10:47:02+00,Gordren,5,9,7.24,"POINT(-422.99 2017.52)","Cursed Darkhound",8,4.07,"",0,"talk to questtaker |cFFFFFF00|Hentry:1569:|h[Shadow Priest Sarvis]|h|r"
2026-08-20 10:47:10+00,Kerine,10,5,9.12,"POINT(847.99 -8983.82)","Riverpaw Runt",9,100.00,"",0,"no destination"
2026-08-20 10:47:12+00,Hohdu,8,3,7.09,"POINT(-9351.58 -3446.28)","Armored Scorpid",7,100.00,"",0,"no destination"
2026-08-20 10:47:13+00,Geraneya,9,8,7.14,"POINT(-12932.75 -6228.28)","Venture Co. Hireling",6,32.58,"",0,"gather from |cFFFFFF00|Hentry:175566:|h[Gloom Weed]|h|r"
2026-08-20 10:47:15+00,Hamuel,9,1,9.94,"POINT(-13768.29 -6227.47)","Prairie Wolf",6,41.67,"",0,"no destination"
2026-08-20 10:47:18+00,Wanma,6,7,8.80,"POINT(-13912.69 -5726.67)","Prairie Stalker",8,100.00,"",0,"loot |cffffffff|Hitem:4739:0:0:0|h[Plainstrider Meat]|h|r from |cFFFFFF00|Hentry:2955:|h[Plainstrider]|h|r (objective 1)"
2026-08-20 10:47:23+00,Astorick,9,4,14.79,"POINT(-11911.01 -3678.75)","Kolkar Stormer",13,58.14,"",0,"no destination"
2026-08-20 10:47:32+00,Boastiago,9,8,10.26,"POINT(-9407.01 -2969.18)","Corrupted Bloodtalon Scythemaw",10,27.71,"",0,"no destination"
2026-08-20 10:47:38+00,Vigoren,5,9,7.62,"POINT(-1143.48 1808.62)","Ressan the Needler",11,98.76,"",0,"skin |cFFFFFF00|Hentry:10357:|h[Ressan the Needler]|h|r"
